,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,noise,staticness,uhdhdsim,tone,cubrow.0.5,blockiness,cubcol.1.0,cubcol.0.3,cubrow.0.3,cubcol.0,cubrow.0.6,contrast,fft,cubrow.1.0,movement,saturation,blur,cubcol.0.6,cubcol.0.5,temporal,cubrow.0,color_fulness
0,0,117.465,25.4221,147,0.0,0,117,129,24,125,20,1.00182,121.5201,0.0,0.0,1.35714,3.861,0.0,0.0,0.0,129.0,58.5596,0.00189,1.88,4.331,0.0,5.7e-05,1.4759493403759087,232.92902666182434,80.42138309280526,0.8996988235294119,0.3857362497333127,2.832587356368574,0.5050369633135745,0.47073886210899496,0.5170707127833575,0.323352030397113,0.4328874476506165,94.4843397947972,82350.48414378536,0.4537982884853746,0.0,21.94173836413725,186317.01468549026,0.5380000222154321,0.4813443434536843,0.0,0.23731545041756058,157.21043147236605
1,1,117.82,26.7985,148,38.7717,0,117,129,24,125,21,0.99754,121.88885,0.0,0.0,0.75,3.841,21.86309,0.0,0.0,129.0,58.62949,0.00187,1.87,4.581,-1.0,7.6e-05,1.4741667070537157,230.40457973977732,80.37078321509746,0.8997058823529414,0.35584837160428223,2.4939245197716513,0.44824740035110083,0.4407383792118562,0.4755356662012654,0.2822463552045038,0.4011569821281355,94.57047089172033,82258.70812750509,0.4244371163691767,12.493827160493828,22.050441789038388,188256.8382159982,0.4907183318042201,0.44881487812451193,6.100376593777252,0.22690635962504466,156.95821053791772
2,2,117.356,25.8861,147,40.2349,0,117,129,24,125,20,0.99303,121.49569,0.0,0.0,0.71429,3.844,23.04427,0.0,0.0,129.0,58.69116,0.00191,1.87,4.8,-1.0,6.9e-05,1.4654554212671596,227.74452683448828,80.44974834860191,0.8996988235294119,0.3401006853202717,2.0060247643153044,0.42903532136628053,0.4195133880752561,0.46869946591443706,0.2724988709105078,0.39739587126444803,94.91977395015999,82159.19867398503,0.41453963535459215,13.303578317901234,22.03990964536314,185869.3246175884,0.46984758578601954,0.4409397340789259,6.084524659266171,0.22372040108704194,157.01818823504541
3,3,117.863,26.0293,148,39.9579,0,117,129,24,125,20,1.00493,121.93011,0.0,0.0,1.17857,3.844,22.26227,0.0,0.0,129.0,58.78308,0.00193,1.86,4.657,-1.0,8.8e-05,1.4797903813549738,225.29633616818109,80.36894384640587,0.9004796078431374,0.3361420302482176,2.58696513343339,0.41764243506302,0.41650286850854734,0.4568547334209522,0.2672767162864146,0.397622813863048,95.44176317532276,82319.48887689758,0.4098853625750231,12.18311149691358,22.069672572759934,188206.35632586706,0.4620823417288007,0.4425885697793051,5.900568023199053,0.2134456146818125,157.19052673432589
4,4,117.895,26.0309,148,39.2127,0,117,129,24,125,20,1.00483,121.97187,0.0,0.0,1.0,3.824,22.38524,0.0,0.0,129.0,58.77599,0.00167,1.88,4.953,-1.0,9e-05,1.4759493403759067,222.98951503680516,80.37473048192892,0.900547843137255,0.3389021466269756,2.9319526334905235,0.4101639868286941,0.4156780577155423,0.4439681553902579,0.2630995111391672,0.39600574800381716,94.64909487646497,82166.36326986311,0.4077651527057368,11.567515432098766,21.959361888744215,189238.79848465978,0.45805679611696365,0.44232339670418025,5.89280573793338,0.20614471372740395,157.491574067868
5,5,118.187,26.3753,148,38.9333,0,117,129,24,125,21,0.99937,122.29632,0.0,0.0,1.46429,3.804,22.38784,0.0,0.0,129.0,58.70507,0.00171,1.87,4.911,-1.0,8e-05,1.4775727553117448,220.9028307593994,80.3191272435592,0.900509411764706,0.34138806053702064,2.0850608931463364,0.40592001226780555,0.418137878763634,0.43589151889605665,0.2615419350791212,0.39227566733100505,94.70092558278176,82250.16982058648,0.4014179966630361,10.9921875,21.95804793746383,190059.05845479856,0.45283384992120507,0.43724953697596086,5.9130089573134885,0.20124768581693328,157.50781395385292
6,6,118.058,25.2542,148,40.8269,0,117,129,24,125,20,0.99475,122.13348,0.0,0.0,0.78571,3.813,22.6836,0.0,0.0,129.0,58.61301,0.00199,1.87,4.96,-1.0,6.9e-05,1.4826022185055974,218.99388193126896,80.3167368915613,0.9005164705882355,0.3398412538186616,2.9315337974200495,0.4003729388502515,0.41705661444804704,0.42920715913707547,0.25946559724115836,0.38673412767303167,95.44912842973648,82337.84595666337,0.39618373063817847,10.615306712962964,21.95407537766445,188642.4888522217,0.44826080905542803,0.4347068548657058,5.984713143456838,0.20048999401186346,157.64872821304482
7,7,117.68,25.7734,147,39.5727,0,117,129,24,125,21,0.98735,121.77389,0.0,0.0,0.89286,3.822,21.72364,0.0,0.0,129.0,58.54248,0.00178,1.87,5.318,-1.0,8e-05,1.4814137962908036,217.27188951840947,80.34530026428511,0.9003396078431374,0.34308610002249795,1.7342199884456335,0.4024791915452991,0.4175924405993078,0.42490800831654096,0.26283387863587765,0.39078405407302724,94.75558142865314,82412.91367080557,0.39337515642942683,9.464072145061728,21.873437575352046,187122.83910348904,0.445131929755739,0.43471323233173825,5.929659554246732,0.19807071222264988,157.7606889406917
8,8,117.448,25.7515,147,40.0635,0,117,129,24,125,20,1.00073,121.66454,0.0,0.0,0.85714,3.821,22.1693,0.0,0.0,129.0,58.47347,0.00191,1.88,5.518,0.18171,7.3e-05,1.482602218505604,215.64177544569517,80.36829192899381,0.8999807843137256,0.3441241809449861,2.6207868484287937,0.4024636341045698,0.41362346466687944,0.42018794755435446,0.2647760540028864,0.3918966014227016,94.67746390276363,82367.62338473625,0.39187034896086065,9.229359567901234,21.750869185836226,185624.13160402805,0.44285428478102906,0.43519347929402186,5.936514104849595,0.19877048337481118,158.08591783055647
9,9,117.808,25.8344,148,40.1778,0,117,129,24,125,21,1.00523,122.03324,0.0,0.0,1.14286,3.813,22.15044,0.0,0.0,129.0,58.44306,0.00194,1.86,5.435,-1.0,6.2e-05,1.4842256334414345,214.11659945578882,80.31120068106159,0.8997137254901962,0.34406980819312444,2.2719142533029695,0.4007747636158244,0.4113910412178166,0.4178175097659358,0.26764110789466444,0.3939577827667865,94.71096768182788,82313.27587714924,0.39021008887224246,8.636188271604938,21.75082453974971,187161.15841179763,0.4404321291664569,0.43688834567617857,5.9000609216007955,0.1998115530362673,157.93326359691494
