,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,blur,movement,tone,cubcol.0.3,cubrow.0.5,cubrow.1.0,saturation,noise,blockiness,cubcol.0.6,contrast,cubrow.0.3,uhdhdsim,cubcol.0.5,cubrow.0.6,color_fulness,cubcol.1.0,cubrow.0,staticness,fft,temporal,cubcol.0
0,300,65.0552,4.51108,29,0.0,0,106,131,7,125,5,0.98138,58.17309,0.0,0.0,3.39286,3.895,0.0,0.0,0.0,125.0,58.94471,0.00039,0.29,1.446,0.0,7.950898,59714.4975171368,0.0,0.8543215686274511,0.11334600490006813,0.1463235524425727,0.11200702856002634,32.6119829342689,0.19966023740101987,1.6318411852652601,0.22863571741970984,91.456151179012,0.25849394847055873,89.50684880345173,0.22018599837615307,0.12970695061119195,161.81418628907406,0.007972330409533995,0.1015727505654392,540.0583930074515,70464.48077968993,0.0,0.007947718068047335
1,301,65.1914,4.58414,29,4.10539,0,106,131,7,125,5,0.98597,58.31338,0.0,0.0,3.75,3.903,3.85074,0.0,0.0,126.0,58.99117,0.00032,0.28,1.409,-1.0,7.921227,60056.74455015072,0.8216145833333334,0.8549388235294119,0.09708794929891208,0.146074607484954,0.1080533197658625,32.5658735110436,0.19966023740102154,1.5625809129254116,0.22720484559137796,93.55908811499688,0.2569079142236019,89.48751201935978,0.21993256210870363,0.12866171836380902,162.1576979753163,0.0063638034566683805,0.10122618891586939,540.5492474184025,70499.03725743263,2.4442947989232415,0.0064183328867977495
2,302,65.154,4.58737,29,4.46988,0,106,131,7,125,5,0.98546,58.26917,0.0,0.0,4.14286,3.895,3.91314,0.0,0.0,126.0,58.94519,0.00037,0.28,1.45,-1.0,7.921643,59889.94560845453,0.8852237654320988,0.8539713725490197,0.0972882182678819,0.14594755737333054,0.10671023012885178,32.564378714855806,0.19966023740102223,1.7423326836140196,0.22689228742740286,94.02049128123338,0.2556488519538602,89.4803752143805,0.2199436836257479,0.12885819325766004,160.99702309194657,0.005832657938321124,0.10073544129130757,539.8955158602645,70436.78302775069,2.5279817149113097,0.005867056809447958
3,303,65.2285,4.49166,29,4.70591,0,106,131,7,125,5,0.99388,58.32532,0.0,0.0,3.96429,3.902,3.91407,0.0,0.0,126.0,59.00073,0.00035,0.28,1.43,-1.0,7.913525,60098.130079624796,0.9224537037037037,0.8549019607843138,0.09807761777532828,0.1464071195125723,0.10288717555134944,32.533240989402486,0.1996602374010266,1.7614726383677528,0.22664080650958626,93.80343350745515,0.25563144732284626,89.48352961744597,0.22017199148578318,0.12874849924001708,161.6521985438892,0.005667773011077853,0.1008130844365025,539.9616498767737,70620.29146998655,2.5864543945093144,0.005792658456855106
4,304,65.2417,4.21655,30,4.75531,0,106,131,7,125,5,0.98616,58.35366,0.0,0.0,3.57143,3.897,3.82901,0.0,0.0,126.0,58.99111,0.0004,0.28,1.538,-1.0,7.920099,59988.28628152194,0.9424189814814815,0.8543215686274511,0.0979354549298412,0.14631117520468936,0.10077439893808997,32.645430388274015,0.19966023740102276,1.6477778947261776,0.2271377376721965,91.19076409406365,0.255647251268739,89.49158604004246,0.21982192056054606,0.12836645219026624,162.03189865931893,0.0056130856563056135,0.10099944832457362,539.6822253939695,70570.36120523818,2.6316493042766145,0.005645707303148886
5,305,65.3371,4.00137,30,4.4759,0,106,131,7,125,5,0.98539,58.44069,0.0,0.0,3.32143,3.911,3.59715,0.0,0.0,126.0,59.02944,0.00037,0.29,1.495,-1.0,7.930592,60168.1584193904,0.8677662037037037,0.8551698039215687,0.09854614334755953,0.14679438431796726,0.10005562037096695,32.508451485339506,0.20409548948747905,1.7943000944542018,0.22721980179676823,91.19068688883944,0.2561327905543485,89.48115005995332,0.2199106675577713,0.1281753581458789,161.7569339282489,0.005656623749158771,0.10116857567262878,539.7686382130911,70543.3492317985,2.5919820813086467,0.005558466145365876
6,306,65.289,3.74078,30,4.47813,0,106,131,7,125,5,0.99044,58.39187,0.0,0.0,3.32143,3.905,3.40664,0.0,0.0,126.0,59.00703,0.00035,0.28,1.477,-1.0,7.966476,60130.689864208965,0.8517071759259259,0.8545694117647058,0.10034231173773286,0.14661067182144322,0.10027383617054562,32.49013622896171,0.1996602374010276,1.6368262623670575,0.22728158902773923,93.71647662589704,0.25643719159525,89.50427578476541,0.21999191936380938,0.12802946775140323,161.1561691466211,0.0055936048087957164,0.10125936496994656,539.6224672372789,70463.61462702122,2.5547042790094707,0.005426491240212588
7,307,65.3976,3.54271,30,4.12606,0,107,131,7,125,5,0.98316,58.48868,0.0,0.0,3.39286,3.922,3.18332,0.0,0.0,125.0,59.05896,0.00042,0.28,1.78,-1.0,7.929864,60342.73890365522,0.8101851851851852,0.8551698039215687,0.1018035375174551,0.1466138829048379,0.10155488584152418,32.667314694251544,0.20571890442331472,1.5963353740162902,0.22723996682541509,94.02312427146857,0.25691441835751355,89.48003729304102,0.21992419444666894,0.12797293191927267,161.9516856846336,0.00555426392956613,0.10125422720685721,539.6341307996177,70668.57166149034,2.536885048840173,0.005387085435298211
8,308,65.4072,3.49199,30,3.8719,0,107,131,7,125,5,0.99251,58.51032,0.0,0.0,3.39286,3.955,3.00812,0.0,0.0,125.0,59.06074,0.00039,0.28,1.571,0.45653,7.935614,60223.38558571242,0.6865837191358025,0.8543584313725491,0.10331010568613723,0.14692883162038423,0.10262628692478497,32.546780056423614,0.20187786344424874,2.1190211245278587,0.22729161997514635,94.22465423123872,0.2573324678023858,89.48970637435835,0.21987159270142254,0.1277382763607611,162.15451992934757,0.005531548440213733,0.10120005094556198,539.5634472729548,70564.77374245953,2.493831349168726,0.005331006680875138
9,309,65.4761,3.40964,30,4.19616,0,107,131,7,125,5,0.98692,58.5799,0.0,0.0,3.42857,3.915,2.97206,0.0,0.0,126.0,59.10347,0.00041,0.28,1.392,-1.0,7.925387,60398.46688630878,0.6369598765432098,0.8549019607843138,0.10461555837342985,0.14721953856154596,0.10341591510811111,32.49088164906443,0.19966023740103736,1.5985707919452419,0.22726170928020242,93.11021511458031,0.2578581097059499,89.45592984665225,0.21987608779183632,0.1276929910029077,160.67539245135077,0.005555247183358474,0.10128910752441368,539.6122604745347,70641.37179455656,2.479102052016153,0.005241763352125098
10,310,65.4816,3.34974,30,3.989,0,107,131,7,125,5,0.98606,58.5827,0.0,0.0,3.60714,3.948,2.88926,0.0,0.0,125.0,59.11926,0.00037,0.29,1.484,-1.0,7.930689,60341.95939286435,1.2869405864197532,0.8549019607843138,0.10584506808755734,0.1473270209759314,0.1039392789665855,32.56922121401186,0.2018778634442565,1.5951637003793457,0.2271352935341299,93.28498197047689,0.2582870179434559,89.4671787558351,0.2200857422546849,0.12763926474768583,161.45275777986924,0.005469767468161447,0.10131510514505233,539.5570152357352,70595.83997243173,2.4396522233054063,0.005201259706884197
11,311,65.5454,3.32131,30,3.76176,0,107,131,7,125,5,0.98419,58.64487,0.0,0.0,3.39286,3.935,2.84261,0.0,0.0,126.0,59.19552,0.00038,0.28,1.517,-1.0,7.960053,60556.82302683888,1.3587480709876543,0.8551698039215687,0.10721265300971566,0.14761366190451783,0.10405438167878922,32.54064884892217,0.20571890442331228,1.7406128902040812,0.22721009953005766,92.67547483340303,0.25864943411420993,89.45817321369864,0.2201068926701984,0.12744321122678157,161.9136377588433,0.005495759306312432,0.10125898038572445,539.6083304500471,70777.03006002588,2.4364006767071067,0.005238715464018515
12,312,65.5273,3.32454,30,3.85842,0,107,131,7,125,5,0.98803,58.63062,0.0,0.0,3.85714,3.963,2.81634,0.0,0.0,126.0,59.19986,0.00035,0.28,1.402,-1.0,7.989381,60269.976018464935,1.2377025462962963,0.8551698039215687,0.1082764005340245,0.14765525866686363,0.10350468038066402,32.50241691683545,0.20793653046654026,1.8354803265578632,0.22735592523598067,93.81492699691003,0.2590824458300256,89.47489345626533,0.22012462606081803,0.1274052078754781,161.5381845881669,0.00551181658828608,0.10137199694518317,539.5552726179081,70760.41598366074,2.437801204087025,0.005241291478361289
13,313,65.5848,3.36465,30,3.88826,0,107,131,7,125,5,0.99499,58.68853,0.0,0.0,3.10714,3.97,2.82364,0.0,0.0,126.0,59.25606,0.00036,0.28,1.456,-1.0,7.95122,60524.0555532371,1.0458140432098766,0.8551698039215687,0.1089667789906634,0.1478489132351435,0.10365384303820135,32.55190098138503,0.2057189044233172,1.7273489602006329,0.22718446966565234,94.37220393392812,0.2596086138482392,89.46703311606211,0.22026296554747596,0.12740244266848746,161.33284824748392,0.005507020313021538,0.10143589238084376,539.5413637310061,70692.9001999816,2.4450051637515218,0.005175162848718976
14,314,65.6056,3.35471,30,3.67557,0,107,131,7,125,5,0.98147,58.71657,0.0,0.0,3.17857,3.959,2.85293,0.0,0.0,126.0,59.26407,0.00036,0.28,1.594,-1.0,8.006532,60478.532494406114,1.0404128086419753,0.8551698039215687,0.10948908580064975,0.14796652496291182,0.10393429469658892,32.52340679404176,0.20793653046653582,1.7687292352894688,0.22716298607679966,90.71589950583177,0.25981666147971344,89.44069502414962,0.22035734370855478,0.1278088472164275,161.87575828833639,0.005472468973906871,0.1015599114543385,539.4329036906613,70610.11563446294,2.4334688228599264,0.005177412887788566
15,315,65.5918,3.23636,30,3.71795,0,107,131,7,125,5,0.98314,58.70213,0.0,0.0,3.57143,3.952,2.84568,0.0,0.0,126.0,59.26659,0.00041,0.28,1.453,-1.0,7.834446,60374.50978653956,1.5629340277777777,0.8545964705882354,0.10991832187679886,0.14801531847959626,0.10356838414516532,32.671742380401234,0.2040954894874805,1.8044288904385335,0.22719802626718344,94.15958609734048,0.26041220488837175,89.44140225939059,0.22041264324398543,0.1275631874967608,161.9318353243737,0.005439283635329901,0.10160202902074704,539.4002849807594,70600.74884318719,2.429878940213823,0.005132753131815517
16,316,65.5959,3.03627,30,3.63562,0,107,131,7,125,5,0.98545,58.72383,0.0,0.0,3.46429,3.955,2.74201,0.0,0.0,126.0,59.22016,0.00037,0.28,1.388,0.46631,7.946406,60347.59743324664,1.5177951388888888,0.8532274509803922,0.11056080461445016,0.1480724034335842,0.10260683189937286,32.5272295916522,0.20793653046653993,1.8518832061081152,0.22709684822527246,94.18696754882777,0.2608622861991909,89.47095254023965,0.22034697757213484,0.1274707844928166,160.72982413863605,0.005499320931079237,0.10163476041243948,539.2324278021811,70628.26973774197,2.4016707602924305,0.005197224015595929
