,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.3,blur,blockiness,color_fulness,cubcol.0.6,cubrow.0.6,cubcol.0.5,noise,cubcol.0,staticness,uhdhdsim,cubrow.1.0,cubrow.0.5,cubcol.0.3,cubcol.1.0,saturation,cubrow.0,contrast,temporal,tone,movement,fft
0,500,47.2876,3.75402,22,0.0,0,116,132,6,125,5,0.99872,42.34819,0.0,0.0,2.32143,5.104,0.0,0.0,0.0,128.0,54.18763,0.00021,0.29,1.121,0.0,9.677429,0.20888140321956836,21489.605001418837,2.269025292623055,161.74014131456738,0.15411799389870787,0.13747356397783483,0.12144224767439583,0.1936015703787156,0.009070053202941578,616.1403362352511,92.32822905701423,0.14676117387926274,0.2532235475383624,0.06290097417241344,0.008990703279529251,34.12725848916136,0.102241997544241,91.15785744868114,0.0,0.7540333333333333,0.0,66732.91273556315
1,501,47.3228,3.6187,22,3.94085,0,116,132,6,125,5,0.99139,42.37347,0.0,0.0,2.39286,5.144,3.19724,0.0,0.0,128.0,54.20053,0.00018,0.3,1.016,-1.0,9.636024,0.20885125551855455,21597.21580763792,2.4008393143337856,161.79217063929164,0.1528988236849525,0.1320491945135063,0.12107766802656943,0.19138394433549344,0.007152638692331158,616.7051251004248,92.34681659939092,0.1420935752610555,0.2519054607759151,0.056254119018696556,0.007454020901359131,34.097018771701386,0.10153803803698994,89.07723926511349,1.9099833575670568,0.7538568627450981,0.4871238425925926,66901.2019819856
2,502,47.257,3.73234,22,4.07124,0,116,132,6,125,5,0.98494,42.31428,0.0,0.0,2.60714,5.081,3.07431,0.0,0.0,128.0,54.1748,0.0002,0.29,0.926,-1.0,9.597308,0.20801037868277267,21486.70601474599,2.3085873045446403,161.7689265293639,0.15257985799626714,0.1294381248673242,0.12729270872225346,0.19138394433549274,0.006661063857296904,616.4663963536447,92.37278629644591,0.1398473168230381,0.25073681505612727,0.05335176368925481,0.006859673393559451,34.108738651982065,0.10139407936643574,90.86326778263361,1.9535542635271914,0.7535066666666667,0.4799382716049383,66880.5997961222
3,503,47.325,4.07776,22,4.03769,0,116,132,6,125,5,0.98603,42.37298,0.0,0.0,2.03571,5.1,3.17643,0.0,0.0,128.0,54.1975,0.00016,0.29,0.969,-1.0,9.598877,0.20826222405422176,21576.014346514385,2.0935157767354116,161.67302457459687,0.15236251447526852,0.12859964546403327,0.13164769164776052,0.19138394433549274,0.006558618225926562,616.8000398496808,92.39145210343023,0.13807562868831752,0.2505135409443075,0.05219926640642225,0.00669354634932446,34.184879632643714,0.1013988489556724,88.6094347848425,2.0625157437982473,0.7535066666666667,0.5074266975308642,66848.36876460568
4,504,47.3099,4.03488,22,4.06618,0,116,132,6,125,5,0.99102,42.35964,0.0,0.0,2.39286,5.119,3.47375,0.0,0.0,128.0,54.18493,0.0002,0.3,0.96,-1.0,9.654003,0.20809695438070314,21556.108129217875,2.00920061813893,161.67224291431418,0.15281619921486164,0.12896814546520943,0.12784615228286345,0.19138394433549266,0.006302551578735083,616.7507976091647,92.35899724916914,0.13761994768927882,0.2503213740428224,0.05178283671021532,0.006393281400786435,34.17146772219811,0.10155759514491415,91.14025518288047,2.1679038490591394,0.7529858823529412,0.7804301697530864,66881.19082157512
5,505,47.3587,3.93038,22,4.06225,0,116,132,6,125,5,0.99841,42.4079,0.0,0.0,2.07143,5.122,3.4412,0.0,0.0,128.0,54.2184,0.00022,0.29,0.974,-1.0,9.612158,0.20796251269653732,21574.31574264541,2.150310124255762,161.45573716340095,0.15265339575084977,0.12889267129503681,0.12466715425685451,0.1936015703787203,0.006247648407902643,616.9724834978632,92.3726172762465,0.13694677065255123,0.25013269303864294,0.052212334256054156,0.006433439146836827,34.15278324080102,0.10140882467255821,88.4342661199251,2.1931618013693375,0.752175294117647,0.6805555555555556,66889.6900843698
6,506,47.3436,3.98571,22,4.16264,0,116,132,6,125,5,0.97978,42.39942,0.0,0.0,2.28571,5.149,3.34564,0.0,0.0,128.0,54.20666,0.00019,0.29,1.101,-1.0,9.533877,0.20760629480921666,21530.77932695038,2.3249464057602345,161.937103691293,0.15269244157580933,0.12794875586351523,0.12200215092907055,0.19360157037871614,0.00619422148126797,616.9509733438916,92.36355559377478,0.13638529253515153,0.2502472512593245,0.05276165672954772,0.006247432009070594,34.12763713318625,0.10143425959804703,89.73637937080142,2.2351750686352423,0.7518400000000001,0.6050347222222222,66791.12441488718
7,507,47.403,3.94679,22,4.25572,0,116,132,6,125,5,0.97652,42.46005,0.0,0.0,1.85714,5.175,3.39598,0.0,0.0,128.0,54.26978,0.00021,0.3,0.98,-1.0,9.638944,0.20747853053145562,21490.69936571193,2.148945319731813,161.42979389362517,0.15282651381370743,0.1278051393108149,0.12137395368189129,0.1936015703787187,0.006073103637149644,617.1093039631172,92.32235299865499,0.1367079141182326,0.2503768599967944,0.052682313371493844,0.006189065779142528,34.184558821313175,0.10140258821975312,91.43329074410747,2.2362022640726447,0.7516098039215686,0.6279417438271605,66785.81901200958
8,508,47.4281,3.992,22,4.02911,0,116,132,6,125,5,0.97603,42.48492,0.0,0.0,2.28571,5.161,3.35955,0.0,0.0,128.0,54.25268,0.00013,0.29,0.994,0.50669,9.695143,0.20724458872746535,21503.391475833527,2.1994286295840277,161.74578213429646,0.15269679916315168,0.1274696334901296,0.12281453453602192,0.1913839443354937,0.006088257733058896,617.1631345171586,92.33295063978784,0.13746966850053416,0.2503031762421678,0.053228365664712805,0.006147409180214344,34.17766825358073,0.10135809554133574,89.46739966666689,2.2322032796054847,0.7512666666666667,0.6589023919753086,66808.11827797927
9,509,47.5397,3.94841,22,3.90689,0,116,132,6,125,5,0.98345,42.58704,0.0,0.0,2.07143,5.152,3.40345,0.0,0.0,128.0,54.28706,0.00015,0.29,1.052,-1.0,9.643675,0.20694316450556763,21633.541130529302,2.157607874099213,161.95744965212668,0.1524303421415383,0.1271670366821643,0.1263169983125572,0.19360157037871714,0.005994719916258358,617.3675802604083,92.3609107415669,0.137645467911692,0.2503507968049516,0.05425405593105603,0.006146469530478736,34.12688568491994,0.10124527616662023,89.55645383668686,2.21684726852925,0.7507149019607844,0.626977237654321,66820.86283366787
