,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubrow.0.6,staticness,cubrow.0,movement,cubcol.0.6,fft,cubrow.0.5,saturation,cubcol.0.5,noise,contrast,cubcol.0.3,cubcol.1.0,blur,cubrow.1.0,blockiness,color_fulness,uhdhdsim,tone,cubcol.0,temporal,cubrow.0.3
0,200,59.4826,15.6227,73,0.0,0,98,124,22,127,14,0.98984,60.99693,0.0,0.0,0.10714,4.363,0.0,0.0,0.0,132.0,36.67112,0.00364,0.49,1.578,0.0,0.084226,0.19267913019980626,258.4611831639162,0.25000149795990606,0.0,0.2457081623740137,71434.38286473279,0.22529159690256967,31.13751409083237,0.18454016862330197,0.9221911344795374,91.82706389132777,0.1603056277962441,0.10496946859188826,19090.338604652545,0.13788850102116526,3.492287404179847,154.1398667513743,84.11295584754255,0.5005243137254902,0.20814845797355536,0.0,0.17798549087442012
1,201,59.4646,15.4986,74,23.8124,0,98,124,22,127,14,0.971,60.97418,0.0,0.0,0.10714,4.359,13.40827,0.0,0.0,132.0,36.70494,0.00351,0.49,1.575,-1.0,0.071962,0.15930685309808088,255.64090461282004,0.24146205523999217,4.905574845679013,0.21543554151945307,71687.85570442292,0.1966299674344008,30.943105815369403,0.1836980914907,0.9221911344795344,93.0932429148867,0.15575898051705067,0.09869853665260354,19263.37512964514,0.1170890774855648,3.58906095505195,154.37814176698598,84.14044363063176,0.5007921568627451,0.19453860743143755,5.512076359196147,0.14840884364228005
2,202,59.4524,15.6624,74,21.9974,0,98,124,22,127,14,0.99378,60.96378,0.0,0.0,0.10714,4.373,13.30203,0.0,0.0,132.0,36.72057,0.00354,0.5,1.521,-1.0,0.079601,0.14758241544996575,253.80430251087526,0.23795652557837535,4.180652006172839,0.20526795509121457,71646.97194796173,0.1866274672982536,31.108117562753186,0.18308509373926893,0.926032175458602,92.61435187752755,0.16333471160370078,0.10363292543927291,19185.35135509045,0.11325204488571393,3.487024815520066,154.3467881959686,84.07626061618433,0.5007921568627451,0.18375937605726217,5.36408199143655,0.13946099492559652
3,203,59.446,15.8056,73,23.142,0,98,124,22,127,14,0.98162,60.91477,0.0,0.0,0.07143,4.391,13.44377,0.0,0.0,132.0,36.72664,0.0038,0.5,1.545,-1.0,0.071215,0.1413375099231421,252.03907998824292,0.23591354247461482,3.8249903549382718,0.20296640471168764,71763.83996599706,0.18105357334524982,30.919881373275942,0.19912250787888253,0.9139148414140155,90.59095949082356,0.161626882279283,0.10277384485617458,19214.930043409553,0.11279632641311217,3.1384974443827685,154.31454444283602,84.13380558463268,0.5016631372549019,0.18356151110786081,5.362991463445154,0.1341500125535488
4,204,59.4317,16.0058,73,22.8414,0,98,124,22,127,14,0.98445,60.92046,0.0,0.0,0.21429,4.406,13.56502,0.0,0.0,131.0,36.73057,0.0038,0.5,1.4,-1.0,0.07872,0.137614950794891,250.45533355151807,0.2356522887482227,3.674093364197531,0.20814429343567187,71743.75952085316,0.1791647269142648,30.928858250747492,0.1956127091022644,0.9221911344795425,92.79211658609337,0.1649412569279877,0.09969494984403636,19213.272293029055,0.1127754812563876,3.2838802829635623,154.45197766817674,84.08993677962506,0.5018933333333333,0.18655435751971958,5.392015025501749,0.13133977664072047
5,205,59.543,15.9072,74,23.5484,0,98,124,22,127,14,0.98386,61.05363,0.0,0.0,0.0,4.386,13.73927,0.0,0.0,132.0,36.77294,0.00373,0.49,1.452,-1.0,0.072777,0.13510876707333044,248.84083832939632,0.2385616783466393,3.4635416666666665,0.20784383742040885,71862.40434523947,0.17900489502982875,30.683283676335844,0.18755204084458285,0.9238145494153752,92.40677007311331,0.16477228153048717,0.09697411299444667,19392.168586985834,0.11018109604026398,3.372402574973977,154.23684158959838,84.00957718257999,0.5022286274509804,0.18829863244499148,5.447896513429664,0.12925839137893722
6,206,59.5907,16.0501,74,21.4053,0,98,124,22,127,14,0.96703,61.07063,0.0,0.0,0.07143,4.378,13.65613,0.0,0.0,132.0,36.8339,0.00377,0.5,1.437,-1.0,0.080795,0.13434091740899898,247.45864723821794,0.23960071556951873,3.189429012345679,0.20231944004131208,72136.63604191918,0.1787928342877146,30.787849520459588,0.18432894434338215,0.9227853455869388,93.1424915354914,0.1637280855753831,0.09420449019925756,19499.91028259233,0.10880323400858426,3.1119773853228896,154.3136171152945,84.03053363222072,0.5035829607843072,0.18745822746384158,5.275798849268458,0.12860094434783456
7,207,59.7461,15.6609,74,23.4894,0,98,124,22,127,14,0.97497,61.17588,0.0,0.0,0.10714,4.383,13.77836,0.0,0.0,132.0,36.90186,0.00349,0.51,1.425,-1.0,0.0718,0.13311172030143423,246.1827605038915,0.24355393581196683,3.024932484567901,0.19695617867431,72221.1887553989,0.1797108045076068,30.665954213083523,0.18593815902830144,0.9177558823930806,92.6158781582221,0.16273864823503228,0.09284415186623533,19983.974516346723,0.10748339936516614,2.9559014803204766,153.99678335333718,84.06858003797866,0.506395294117647,0.18428049065376856,5.341162571792096,0.1280455826348967
8,208,59.7895,16.0907,74,22.744,0,98,124,22,127,14,0.99291,61.20183,0.0,0.0,0.14286,4.398,13.44377,0.0,0.0,132.0,36.97243,0.00383,0.51,1.397,0.13156,0.075098,0.13368895659186703,245.07032922036473,0.24604857814585393,2.7996720679012346,0.1920561354774895,72206.4185732028,0.18155284375749575,30.671952235845872,0.18815028639898648,0.923814549415375,93.22079951123867,0.1627550305929718,0.09177065393067586,20032.694662666392,0.10732991030907757,3.3172429540567636,154.1912174319133,84.03838193004312,0.5080698039215685,0.1868157362819454,5.136397497298783,0.12849231873844177
9,209,59.7781,16.2143,74,23.7402,0,98,124,22,127,14,0.98321,61.17955,0.0,0.0,0.17857,4.411,13.8152,0.0,0.0,132.0,37.02598,0.00361,0.5,1.471,-1.0,0.075977,0.13321337548892107,244.08239604145157,0.24891163171144337,2.7135416666666665,0.18741345976503754,72156.73913107745,0.1818896765158955,30.70165921434944,0.18751677475320222,0.9205677195437042,92.81576245251267,0.16369004209935,0.09057948659337607,20156.794939161275,0.10787731155633441,2.8722894558134073,154.13732709882512,84.05084715342144,0.5086054901960784,0.18921327456865014,5.215796705085017,0.12847125525778053
10,210,59.7818,15.7909,74,23.3773,0,98,124,22,127,14,0.97694,61.17461,0.0,0.0,0.10714,4.38,13.92281,0.0,0.0,132.0,37.05839,0.0038,0.5,1.418,-1.0,0.073216,0.1339006863011459,243.03064200080638,0.25249588295976194,4.28978587962963,0.18315226377868615,72242.35760161861,0.18255380179271374,30.38797034746335,0.18685231417725195,0.9215969233721425,93.26792587088104,0.16460254611805927,0.09026694154451685,20206.152447615652,0.1076208993988201,3.326813961000842,154.09739678790896,84.0321697488364,0.5083149019607842,0.18635440848552015,5.2671020194341756,0.12908740904675872
