,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,color_fulness,cubrow.0.5,temporal,cubrow.0,tone,cubrow.0.6,cubrow.0.3,movement,staticness,cubcol.0.5,saturation,cubcol.0,contrast,noise,cubcol.1.0,cubcol.0.6,cubcol.0.3,fft,cubrow.1.0,uhdhdsim,blockiness,blur
0,400,24.4617,21.9616,12,0.0,0,121,118,4,135,6,0.99649,23.18725,0.0,0.0,7.92857,12.386,0.0,0.0,0.0,121.0,35.03469,0.0,0.29,3.326,0.0,3.490528,110.00295110257075,0.051183388740505244,0.0,0.03612401999713467,0.4735309803921568,0.09347093369882167,0.05736960655535541,0.0,634.0562940467428,0.05242334781798552,45.1884718529972,0.04747860868669758,88.89298777369879,0.18532527731320578,0.08268332916297727,0.09527072757511869,0.02301748008241756,62077.205260035844,0.042187748370264656,102.55265093171917,0.8473643068370783,3423.381917797817
1,401,24.4942,22.1972,12,20.6874,0,121,118,5,135,6,1.00308,23.2373,0.0,0.0,8.46429,12.636,18.89818,0.0,0.0,121.0,35.33287,0.0,0.29,3.234,-1.0,3.467283,109.95137539697225,0.03807558730584163,6.2141330675628925,0.028840576367496058,0.47935215686274507,0.07791151253642353,0.04426141902936018,16.944926697530864,621.4165882082797,0.05248481404623006,45.22548496576003,0.03805479819096829,86.2887648988453,0.18532527731320095,0.06866625676555634,0.09889939555556468,0.02244826322331423,61917.88272426794,0.03925188867829024,102.5104433087555,1.1997953805967843,3342.0029595219366
2,402,23.8285,22.3019,12,21.4275,0,121,118,5,135,6,1.00383,22.66505,0.0,0.0,8.53571,13.397,19.1062,0.0,0.0,122.0,35.47709,0.0,0.29,3.1,-1.0,3.392734,109.82554793706477,0.03584822509268641,6.150239984841402,0.02630338867708835,0.4802674509803922,0.06677455235499917,0.04459562217696057,14.320939429012345,608.198011784114,0.05262472047191186,45.37408899377893,0.035746856335709926,87.3994612327702,0.18532527731320061,0.06389316406829441,0.10521761974842758,0.0223702962902715,61913.537867424944,0.03746137791293092,102.68653237715111,1.1341233277856437,2755.750296321064
3,403,23.4968,22.7464,12,22.0124,0,121,118,5,135,6,1.00633,22.41913,0.0,0.0,13.10714,13.174,19.18177,0.0,0.0,123.0,35.62011,0.0,0.29,5.287,-1.0,3.231242,108.29295857201652,0.03364605401001592,6.0515717549024,0.024587332503282128,0.4861070588235295,0.05953663750475282,0.046127793951598925,12.444106867283951,593.8786722172324,0.053579750921548486,45.33644273546007,0.0362172040333092,87.83039889788391,0.18532527731320095,0.05916929299921911,0.09541309480772742,0.022346753242453023,61915.528851695686,0.03658983901049617,102.7940208025666,0.9627236405012511,2485.9666999942237
4,404,23.4441,23.5053,12,22.4376,0,121,118,5,135,6,1.00444,22.437,0.0,0.0,11.57143,11.789,19.54763,0.0,0.0,123.0,35.6917,0.0,0.28,4.359,-1.0,3.22771,106.57876317119175,0.03379840486805725,5.955290125999329,0.023111495981963857,0.49200078431372557,0.05634110763283011,0.04865065980634388,10.817756558641975,579.7325617401175,0.054490039507337086,45.41805804217303,0.03414759186274508,86.30011448157475,0.19138394433549252,0.05638747230362084,0.09064414254334166,0.022041257998714613,61698.38707312358,0.037086374412618084,102.8553094351654,0.8695316912882908,2384.402521282359
5,405,24.3249,24.0547,12,22.3019,0,121,118,5,135,7,1.00475,23.25594,0.0,0.0,10.32143,11.405,20.1976,0.0,0.0,122.0,35.56364,0.0,0.28,5.596,-1.0,3.212192,103.95883432307231,0.035910104802707,5.8686119476524965,0.02203666184453455,0.4925435294117647,0.05626685098971774,0.05296878645733263,9.398148148148149,566.2404016930747,0.05537818765890613,45.51303967134452,0.03186728861977621,84.34192696048778,0.19138394433549352,0.05920401333868427,0.08889158700242154,0.02157431462388007,61715.05716198344,0.03551872437032336,102.69089905491302,1.105072882857564,2692.8414491025933
6,406,25.7887,24.2202,13,22.7881,0,121,117,5,135,7,0.99557,24.59977,0.0,0.0,9.96429,10.522,20.67302,0.0,0.0,122.0,35.38793,0.0,0.29,4.842,-1.0,3.063226,101.05199173628597,0.03792859028930432,5.789273114292711,0.021358115545393828,0.49182313725490195,0.05554106803580912,0.05360207851225375,8.638020833333334,553.2029208777376,0.05494487449665644,45.71461430302372,0.0343381590906536,90.31143526475319,0.1913839443354943,0.06657803286784154,0.09495126979349963,0.02146650000750372,62189.46443908465,0.03552785873612519,102.44234859883608,1.0189364016122961,3242.6171886193038
7,407,27.0473,23.8397,14,20.6797,0,122,117,5,135,7,1.00228,25.76878,0.0,0.0,9.71429,10.36,20.82157,0.0,0.0,121.0,35.43747,0.0,0.29,4.496,-1.0,2.95454,97.8444730341713,0.04666433482346368,5.672042954439448,0.020956881984496897,0.49293372549019604,0.053953799173216,0.05599209396997613,8.037712191358025,540.5156632757031,0.05427594768429689,46.03672225387008,0.036233986410700816,86.38076909498133,0.1936015703787248,0.0721511708078785,0.09780455999827825,0.021971677942237824,62264.61699940952,0.03444046050096822,102.22251430018582,0.5795846358924055,3655.680989724736
8,408,28.0292,23.2902,14,20.4202,0,122,117,5,135,7,1.00329,26.60323,0.0,0.0,11.03571,9.812,20.50365,0.0,0.0,121.0,35.28986,1e-05,0.29,4.065,0.42117,2.933429,95.610013120486,0.05633606401117466,5.525777980205379,0.020549948199294763,0.48978980392156857,0.05440742850748865,0.06006632180342279,7.582851080246914,529.0063249806569,0.05319233264392261,46.2380180829837,0.0367715813085572,87.63838674040962,0.19360157037872314,0.06997150965285728,0.09870629390099678,0.022167514450542974,62071.437678497714,0.03268948078053707,102.06786074059804,1.1493630874954281,3998.5840609519696
9,409,28.094,22.3345,14,19.667,0,122,117,5,135,7,1.01258,26.69337,0.0,0.0,13.82143,9.865,20.01497,0.0,0.0,119.0,34.91021,0.0,0.29,3.524,-1.0,2.904806,92.99579329097853,0.0629959389425157,5.428343198709276,0.020189451542526073,0.4900058823529412,0.05324292207087039,0.06375434612911751,6.823784722222222,518.5281405169911,0.05226394162089489,46.40951010621624,0.03590243553944264,86.75047109948724,0.19360157037872525,0.06951190312976349,0.0958350768557335,0.022514294197500357,62144.32767770745,0.03166688803199125,102.07100848131411,1.0880794562092537,3983.6532033950625
