,frame_number,SITI.SI,SITI.TI,VCA. E,VCA. h,VCA. epsilon,VCA. L,VCA. avgU,VCA. energyU,VCA. avgV,VCA. energyV,AGH.Blockiness,AGH.Spatial Activity,AGH.Letterbox,AGH.Pillarbox,AGH.Blockloss,AGH.Blur,AGH.TemporalAct,AGH.Blackout,AGH.Freezing,AGH.Exposure(bri),AGH.Contrast,AGH.Interlace,AGH.Noise,AGH.Slice,AGH.Flickering,cambi,cubcol.0.6,cubrow.0,cubrow.0.5,cubcol.0.5,cubrow.1.0,temporal,fft,blockiness,cubcol.0.3,saturation,uhdhdsim,movement,cubcol.1.0,cubrow.0.3,staticness,color_fulness,noise,cubcol.0,tone,cubrow.0.6,contrast,blur
0,100,78.5178,14.5724,72,0.0,0,120,117,14,136,13,0.98816,80.92871,0.0,0.0,1.28571,4.27,0.0,0.0,0.0,129.0,40.99864,9e-05,0.46,3.389,0.0,0.279587,0.17432932490422964,0.41876096270803975,0.2622251759683701,0.24438990201524766,0.19103298628453738,0.0,68772.5917947707,8.662994169774162,0.1789645693114115,50.07786710762683,90.14452655301537,0.0,0.2917535232381382,0.2796930540571129,564.7136707214528,89.35793139232108,0.5085356995896921,0.1916056079750612,0.6150427450980391,0.2724440691490499,86.89708295271402,45708.007367258026
1,101,78.9055,14.6099,72,23.5835,0,119,117,14,136,13,0.9927,81.36657,0.0,0.0,1.5,4.275,12.54851,0.0,0.0,129.0,41.14142,5e-05,0.47,3.115,-1.0,0.289517,0.1762404382941646,0.38711599390395324,0.26158000172742835,0.22883310918452596,0.1802781269544867,5.129160696283796,68931.6120643864,7.608885004490341,0.17853994000035456,50.20054927873022,90.13539339775674,5.2671682098765435,0.2833196946114262,0.2732902310008951,561.6254796742468,88.12090204619079,0.5145943666119811,0.1953983806232932,0.6163811764705882,0.25383605135278675,87.92540551227819,46405.31820246121
2,102,78.7246,14.7462,72,23.9542,0,119,117,13,136,13,1.00301,81.25224,0.0,0.0,0.78571,4.252,12.58645,0.0,0.0,129.0,41.29027,4e-05,0.47,3.187,-1.0,0.301574,0.1796473010885645,0.379963107571478,0.26264365743278184,0.2143081611309831,0.17667086587459277,5.161113493824949,69089.78018710334,5.730083286576564,0.17890187798374937,50.30894733947,90.18603229053903,4.83154899691358,0.2758133978530986,0.27338491678347704,559.0038303630448,87.27554182455131,0.5145943666119829,0.17951114247984382,0.6173798627450955,0.2502434984042479,85.2856767786946,46260.118128192225
3,103,78.6841,14.5906,72,22.9041,0,119,117,13,136,13,1.0127,81.26417,0.0,0.0,1.82143,4.241,12.70151,0.0,0.0,129.0,41.44022,8e-05,0.48,3.369,-1.0,0.287621,0.17984586354257015,0.3758079718672904,0.26118746625502226,0.20113987700945699,0.1785776431652851,5.145925253465014,68921.42090232759,5.720398649730803,0.17634172881192114,50.44125027126736,90.20407111093763,4.388937114197531,0.2664744706131717,0.2750964018916598,557.2686337742039,87.10932807123636,0.5168119926552095,0.18118284770750356,0.617647843137255,0.2480700199290012,85.65202403026666,45965.446116115025
4,104,78.9123,14.2518,72,24.8274,0,119,117,13,136,13,1.01058,81.5259,0.0,0.0,1.21429,4.247,12.56279,0.0,0.0,128.0,41.49575,6e-05,0.48,3.274,-1.0,0.339774,0.1796520430303881,0.36916410194628335,0.2580031477221951,0.19447029912385905,0.1793720890839402,5.186074938128921,68773.22105718243,5.944750954738967,0.1746190664611013,50.50169297206549,90.12912418389165,4.021797839506172,0.25633237598396913,0.2745719409069716,556.1474368983404,87.51098735497152,0.516811992655211,0.18826306085182049,0.617044705882353,0.24648702326831398,89.0339536827314,45985.76913750541
5,105,79.1776,14.1248,73,21.9793,0,119,117,14,136,13,0.99102,81.75048,0.0,0.0,0.78571,4.253,12.27358,0.0,0.0,129.0,41.59177,5e-05,0.47,2.358,-1.0,0.347043,0.17934302085602338,0.3665232853400719,0.2561724886765359,0.1885551767767658,0.18131457830689393,5.140858543952561,68807.1462767309,6.332351252910019,0.17788849513698696,50.54348453474633,90.10738845515972,3.41015625,0.24993191802818518,0.27396242423289036,555.4705037518596,87.9471701890829,0.5168119926552152,0.19191786573204556,0.617963137254902,0.24696701814648647,87.70963928473677,46466.63465438188
6,106,79.1772,14.1111,73,21.7746,0,119,117,13,136,13,0.98754,81.74998,0.0,0.0,0.60714,4.261,12.16598,0.0,0.0,129.0,41.66315,7e-05,0.48,2.635,-1.0,0.358643,0.17823211668037595,0.369033043674208,0.2550625229176261,0.18560436165657396,0.1853991237387832,5.192334130151468,68752.03332442432,6.937162505300038,0.1782410985259172,50.57079155062452,90.13139662988326,3.025077160493827,0.2457150586030712,0.272786536648591,555.092016732385,88.23653484525069,0.5168119926552112,0.19329326041878322,0.6186964705882354,0.24584192490519027,86.08499984135896,46321.40436447837
7,107,79.5655,14.1148,73,23.5561,0,119,117,14,136,13,0.99175,82.15458,0.0,0.0,0.57143,4.262,12.1584,0.0,0.0,129.0,41.76833,8e-05,0.48,2.748,-1.0,0.416721,0.1772311266885718,0.37599728770601837,0.2537071178962959,0.1819318879509589,0.18793313485722637,5.173248371573877,68905.80800447277,8.555298662285816,0.17873990057917025,50.692137353214214,90.06179743297083,2.890721450617284,0.2417606596762079,0.2730279403435948,555.0924144551702,89.15483829973053,0.5168119926552107,0.19784843411102165,0.6182219607843137,0.24594749168192978,85.55523653270389,47125.63027873261
8,108,79.5836,14.2024,73,22.1102,0,119,117,14,136,13,0.99925,82.20769,0.0,0.0,0.78571,4.271,12.17075,0.0,0.0,129.0,41.83718,5e-05,0.48,3.062,0.20242,0.385265,0.17732111566929,0.37746448268408167,0.2524120248187993,0.18192821018360616,0.1895642664703793,5.036620587189431,68899.5260628602,7.8873721273429895,0.18026892411901432,50.835187747154706,90.10334633628716,2.6434702932098766,0.23767019428480374,0.27324419254642834,555.1711469410662,89.61427219848201,0.5168119926552116,0.1997754036252511,0.6178572549019608,0.24756020550088934,89.44989971497868,47232.624536601616
9,109,79.3322,13.9807,73,23.7765,0,119,117,14,136,13,0.98412,81.90849,0.0,0.0,1.03571,4.274,12.24034,0.0,0.0,129.0,41.89732,5e-05,0.48,3.254,-1.0,0.410417,0.1774544565923984,0.37971264936317367,0.2521815981949702,0.18319727636698102,0.19027674365378472,5.105583971150724,68902.56219513502,8.322041305115336,0.18132942137509847,50.747377748842595,90.17454702684007,2.605661651234568,0.23441574804127946,0.27385425085280674,555.2745349332893,90.11808753120339,0.5168119926552093,0.2073714148342949,0.6174321568627451,0.24735279571995522,88.5222372729739,46881.019474523906
